"SITE","LINE","PLC_STATION_ID","ORDER","SFC","TXNTYPE","REASON_CODE","START_DATE_TIME","END_DATE_TIME","TXN_VARIANT_CODE","TXN_VARIANT_DATA","PRE_WEIGHT","POST_WEIGHT","STATUS","ACTIVITY","CREATED_BY","CREATED_DATE_TIME","MODIFIED_DATE_TIME","RETRY_COUNT"
"1297","L1_SA_SU","3","SU01","00201908SU-00016",1,20,"15-AUG-2019 12:38:43","15-AUG-2019 12:38:59","","",205,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00016",1,30,"15-AUG-2019 12:39:41","15-AUG-2019 12:39:58","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00016",1,40,"15-AUG-2019 12:40:08","15-AUG-2019 12:40:25","","",661,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00016",1,50,"15-AUG-2019 12:40:39","15-AUG-2019 12:40:50","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00016",1,60,"15-AUG-2019 12:41:20","15-AUG-2019 12:41:29","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00016",1,70,"15-AUG-2019 12:42:48","15-AUG-2019 12:42:57","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00017",1,1,"15-AUG-2019 12:39:23","15-AUG-2019 12:39:27","1"," E02B0040002A2FD",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00017",1,10,"15-AUG-2019 12:39:37","15-AUG-2019 12:39:50","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00017",1,20,"15-AUG-2019 12:39:58","15-AUG-2019 12:40:13","","",204,659,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00017",1,30,"15-AUG-2019 12:41:00","15-AUG-2019 12:41:17","","",659,659,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00017",1,40,"15-AUG-2019 12:41:27","15-AUG-2019 12:41:42","","",659,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00017",1,50,"15-AUG-2019 12:41:57","15-AUG-2019 12:42:08","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00017",1,60,"15-AUG-2019 12:42:33","15-AUG-2019 12:42:42","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00017",1,70,"15-AUG-2019 12:43:55","15-AUG-2019 12:44:05","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00018",1,1,"15-AUG-2019 12:39:49","15-AUG-2019 12:39:53","1"," E02B0040002A2F3",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00018",1,10,"15-AUG-2019 12:40:25","15-AUG-2019 12:40:39","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00018",1,20,"15-AUG-2019 12:40:46","15-AUG-2019 12:41:03","","",205,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
